config_name,noise_threshold,buy_rule,sell_rule,stop_loss_pct,take_profit_pct,max_holding_days,decisions_count,hold_count,buy_count,sell_count,operations_count,trades_count,initial_balance,final_balance,total_return_pct,sharpe_ratio,max_drawdown_pct,win_rate_pct,total_fees,avg_trade_result,model_rmse,model_mae,model_mape,open_position_amount
nt0.00025__buy_forecast_and_ema_state__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.03__tp0.04__hold20,0.00025,forecast_and_ema_state,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.03,0.04,20,365,351,7,7,14,7,10000,10069.79,0.69788,0.797284,0.794499,57.142857,0,9.96971016,2107.69756314,1537.91571758,1.56150688,0
nt0.00025__buy_forecast_and_ema_state__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.03__tp0.04__hold30,0.00025,forecast_and_ema_state,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.03,0.04,30,365,351,7,7,14,7,10000,10069.79,0.69788,0.797284,0.794499,57.142857,0,9.96971016,2107.69756314,1537.91571758,1.56150688,0
nt0.00025__buy_forecast_and_ema_state__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.03__tp0.06__hold10,0.00025,forecast_and_ema_state,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.03,0.06,10,365,353,6,6,12,6,10000,10054.7,0.546962,0.50417,1.0488,50,0,9.11602742,2107.69756314,1537.91571758,1.56150688,0
nt0.00025__buy_forecast_and_ema_state__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.03__tp0.06__hold20,0.00025,forecast_and_ema_state,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.03,0.06,20,365,351,7,7,14,7,10000,10059.46,0.594579,0.582794,0.897303,42.857143,0,8.49397911,2107.69756314,1537.91571758,1.56150688,0
nt0.00025__buy_forecast_and_ema_state__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.03__tp0.06__hold30,0.00025,forecast_and_ema_state,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.03,0.06,30,365,351,7,7,14,7,10000,10059.46,0.594579,0.582794,0.897303,42.857143,0,8.49397911,2107.69756314,1537.91571758,1.56150688,0
nt0.00025__buy_forecast_and_ema_state__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.03__tp0.08__hold10,0.00025,forecast_and_ema_state,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.03,0.08,10,365,355,5,5,10,5,10000,10057.91,0.579104,0.495708,1.0488,60,0,11.58207374,2107.69756314,1537.91571758,1.56150688,0
nt0.00025__buy_forecast_and_ema_state__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.03__tp0.08__hold20,0.00025,forecast_and_ema_state,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.03,0.08,20,365,355,5,5,10,5,10000,10113.02,1.130179,1.026361,0.794499,60,0,22.60358985,2107.69756314,1537.91571758,1.56150688,0
nt0.00025__buy_forecast_and_ema_state__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.03__tp0.08__hold30,0.00025,forecast_and_ema_state,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.03,0.08,30,365,355,5,5,10,5,10000,10113.02,1.130179,1.026361,0.794499,60,0,22.60358985,2107.69756314,1537.91571758,1.56150688,0
nt0.00025__buy_forecast_and_ema_state__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.05__tp0.04__hold10,0.00025,forecast_and_ema_state,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.05,0.04,10,365,353,6,6,12,6,10000,10104.56,1.045597,1.069358,0.701472,66.666667,0,17.42661356,2107.69756314,1537.91571758,1.56150688,0
nt0.00025__buy_forecast_and_ema_state__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.05__tp0.04__hold20,0.00025,forecast_and_ema_state,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.05,0.04,20,365,353,6,6,12,6,10000,10067.89,0.678896,0.763541,0.715206,66.666667,0,11.31492751,2107.69756314,1537.91571758,1.56150688,0
